Order,Genus,species,Specimen number (YPM),sex,mass (g),femur_circumference (mm),femur_diamter (mm),femur_length (mm),humerus_diameter (mm),humerus_length (mm),tarsus_circumference (mm),tarsus_diameter (mm),tarsus_length (mm),tibia_length (mm),humerus_circumference (mm),coracoid HAF (mm),coracoid shaft width,coracoid max length
Passeriformes,Zonotrichia,albicollis,105475,f,24.40,4.34,1.51,18.36,1.67,17.33,3.93,1.14,20.81,31.3,4.89,1.64,0.87,16.49
Passeriformes,Zonotrichia,albicollis,108945,f,24.40,4.04,1.25,18.84,1.54,17.92,3.57,0.98,23.4,32.39,4.46,1.69,0.88,16.91
Passeriformes,Zonotrichia,albicollis,108949,f,24.40,4.51,1.43,19.74,1.67,18.77,3.13,1,24.83,32.08,4.98,1.64,0.9,17.17
Passeriformes,Zonotrichia,albicollis,110861,f,24.40,4.56,1.34,17.91,1.57,17.43,4.04,1.07,22.23,30.88,4.95,1.66,0.83,16.8
Passeriformes,Zonotrichia,albicollis,112173,f,24.40,4.48,1.5,19.27,1.6,18.27,3.24,0.95,22.52,30.44,4.7,1.59,0.95,16.95
Passeriformes,Zonotrichia,atricapilla,112176,m,31.70,5.04,1.66,21.87,1.84,20.53,3.71,1.2,24.71,35.76,5.34,1.74,1.19,19.1
Passeriformes,Zonotrichia,atricapilla,103571,f,32.30,4.37,1.44,20.9,1.69,19.63,4.74,1.15,24.06,33.75,5.01,1.82,1.06,17.94
Passeriformes,Zonotrichia,atricapilla,103579,f,32.30,4.4,1.44,21.38,1.81,19.84,4.65,1.12,24.77,34.54,5.28,1.78,1.01,19.73
Passeriformes,Zonotrichia,atricapilla,104299,f,32.30,4.79,1.59,20.68,1.68,19.41,4.1,1.15,25.24,33.76,5,1.77,1.1,18.29
Passeriformes,Zonotrichia,capensis,103398,f,20.30,3.99,1.19,18.03,1.53,18.15,3.68,0.99,21.63,29.76,4.43,1.47,0.91,15.76
Passeriformes,Zonotrichia,capensis,105196,f,20.30,4.21,1.47,18.3,1.3,16.42,2.92,0.9,23,30.04,3.86,1.48,0.74,14.84
Passeriformes,Zonotrichia,capensis,105195,m,21.90,3.74,1.2,18.74,1.47,17.51,3.36,1,23.62,32.02,4.41,1.56,0.89,15.78
Passeriformes,Zonotrichia,querula,110948,m,37.40,4.73,1.57,21.82,1.87,21.52,4.67,1.1,23.34,34.36,5.48,1.96,1.14,20.05
Passeriformes,Zonotrichia,querula,112181,m,37.40,5.07,1.63,21.57,1.88,21.45,3.96,1.31,24.6,34.26,5.5,1.89,1.21,19.84
Passeriformes,Zonotrichia,querula,112182,m,37.40,4.71,1.46,21.57,1.94,21.25,3.72,1.23,23.19,34.33,5.64,1.96,1.13,19
Podicipediformes,Aechmophorus,occidentalis,104277,f,1199.00,18.88,5.55,40.89,4.77,105.41,15.74,2.98,67.71,106.89,14.04,7.35,3.76,43.92
Podicipediformes,Aechmophorus,occidentalis,104270,f,1199.00,20.86,5.63,46.44,4.32,122.88,15.15,3.71,78.72,120.11,17.55,8.13,3.97,49.78
Podicipediformes,Aechmophorus,occidentalis,104278,f,1199.00,15.92,4.77,43.29,4.55,108.05,14.38,3.47,68.85,109.86,13.34,8.09,3.73,44.2
Podicipediformes,Aechmophorus,occidentalis,104269,f,1199.00,17.19,5.19,41.82,4.98,110.5,13.18,3.43,69.05,111.27,12.22,8.16,3.86,44.26
Podicipediformes,Aechmophorus,occidentalis,104272,f,1199.00,19.78,5.42,44.87,7.26,113.68,15.95,3.57,70.89,114.54,15.22,8.06,4.06,45.44
Podicipediformes,Aechmophorus,occidentalis,104273,m,1429.00,21.26,5.81,46.18,4.57,120.35,17.55,4.08,77.2,121.71,16.61,8.63,4.07,50.71
Podicipediformes,Aechmophorus,occidentalis,104275,m,1429.00,18.06,5.69,46.74,5.13,121.01,18.15,4.19,76.22,120.97,16.5,8.62,3.91,48.24
Podicipediformes,Aechmophorus,occidentalis,104268,m,1429.00,19.6,5.59,43.08,5.03,115.59,17.19,3.78,72.71,115.03,18.16,8.58,4.09,46.53
Podicipediformes,Aechmophorus,occidentalis,104274,m,1429.00,21.36,5.71,46.69,4.43,120.89,19.29,3.91,78.71,124.63,18.28,8.62,4.1,51.15
Podicipediformes,Aechmophorus,occidentalis,104276,m,1429.00,21.01,5.35,44.6,10.5,113.03,24.3,3.83,76.31,119.93,18.29,8.58,4.08,47.91
Podicipediformes,Podiceps,nigricollis,102838,f,374.00,11.56,3.37,31.28,3.23,67.94,7.57,2.36,40.11,65.92,10.3,4.43,2.66,28.4
Podicipediformes,Podiceps,nigricollis,102846,f,374.00,14.31,3.6,29.63,3.01,64.59,10.27,2.16,40.22,63.36,11.45,4.99,2.68,26.44
Podicipediformes,Podiceps,nigricollis,102850,f,374.00,12.5,3.38,31.44,3.62,68.76,8.54,2.24,40.58,65.38,10.9,4.99,2.55,28.05
Podicipediformes,Podiceps,nigricollis,111184,m,422.00,13.48,3.54,31.23,5.49,68.68,10.26,2.56,41.39,67.8,12.54,5.22,2.75,29.59
Podicipediformes,Podilymbus,podiceps,107558,f,358.00,12.15,3.61,36.05,3.88,69.96,11.78,3.01,37.72,61.92,12.21,4.73,2.52,30.23
Podicipediformes,Poliocephalus,rufopectus,110828,m,249.00,14.8,3.69,32.06,4.54,60.36,10.45,2.57,39.74,62.77,12.07,4.64,1.85,25.89
Podicipediformes,Tachybaptus,ruficollis,102303,f,130.00,11.67,3.16,29.13,2.57,52.64,9.19,2.72,33.78,53.11,8.14,3.23,1.81,23.94
Podicipediformes,Tachybaptus,ruficollis,103528,f,130.00,11.57,3.17,28.27,3.03,53.72,7.49,2.32,34.03,54.43,8.47,3.91,1.75,23.99
Procellariiformes,Daption,capense,110730,f,407.00,12.43,2.85,37.33,5.14,85.29,13.27,2.83,45.35,74.33,15.97,4.64,4.51,30.96
Procellariiformes,Daption,capense,110732,f,407.00,11.18,3.31,38.05,5.92,81.32,10.85,2.88,44.97,77.43,17.79,4.78,4.41,29.49
Procellariiformes,Daption,capense,110706,m,442.00,10.98,2.63,37.9,4.89,88.88,11.47,2.86,44.64,80.24,16.74,4.96,5.12,31.32
Procellariiformes,Daption,capense,110719,m,442.00,9.92,3.46,38.84,5.08,84.57,10.8,3.05,43.05,78.62,15.82,4.74,4.76,30.89
Procellariiformes,Fulmarus,glacialis,111185,m,649.00,15.45,4.32,50.06,6.82,116.39,10.16,3.65,55.01,102.4,19.95,6.51,5.61,42.06
Procellariiformes,Oceanites,oceanicus,109795,m,28.90,4.51,1.39,14.93,1.94,21.24,3.97,1.35,34.24,43.62,5.54,1.94,1.67,14.64
Procellariiformes,Oceanites,oceanicus,109794,f,28.90,4.7,1.51,15.71,2.03,22.69,3.77,1.21,36.81,47.78,5.87,2.33,1.69,15.33
Procellariiformes,Oceanites,oceanicus,109797,m,28.90,4.12,1.33,14.46,2.01,20.88,3.71,1.19,33.54,43.28,5.53,2.16,1.68,14.89
Procellariiformes,Oceanites,oceanicus,109796,m,28.90,4.1,1.29,13.94,1.83,20.79,3.88,1.29,35.23,45.03,5.32,2.3,1.64,14.62
Procellariiformes,Oceanites,oceanicus,109793,m,28.90,3.71,1.11,13.99,1.77,21.71,2.69,0.95,35.32,46.04,4.85,2.2,1.66,14.9
Procellariiformes,Oceanites,oceanicus,109792,m,28.90,4.79,1.56,15.29,2.04,22.37,4.01,1.38,36.03,46.45,5.62,2.23,1.62,14.71
Procellariiformes,Oceanites,oceanicus,109784,f,28.90,4.95,1.58,14.49,2.12,21.31,4.01,1.38,35.87,45.42,6.06,1.88,1.61,14.92
Procellariiformes,Oceanites,oceanicus,109782,f,28.90,4.79,1.51,14.47,1.96,21.41,3.9,1.31,35.76,47.11,5.56,1.93,1.66,14.84
Procellariiformes,Oceanites,oceanicus,111025,f,28.90,4.67,1.49,15.73,2.07,22.79,4.08,1.37,37.04,47.61,5.86,1.87,1.64,15.93
Procellariiformes,Oceanodroma,leucorhoa,109798,m,41.10,4.3,1.34,15.96,2.16,35.46,3.55,1.32,23.86,34.9,6.35,2.3,1.56,16.46
Procellariiformes,Oceanodroma,leucorhoa,109799,f,41.40,3.97,1.27,15.64,2.16,35.29,3.31,1.17,24.08,34.47,6.33,2.29,1.51,15.7
Procellariiformes,Oceanodroma,leucorhoa,109802,f,41.40,4.01,1.32,15.26,2.09,35.18,3.57,1.22,24.05,33.76,6.17,2.37,1.41,15.88
Procellariiformes,Oceanodroma,leucorhoa,109805,f,41.40,3.91,1.26,14.7,2.06,33.27,3.8,1.19,22.75,33.03,5.97,2.37,1.49,16.02
Procellariiformes,Oceanodroma,leucorhoa,109804,f,41.40,3.83,1.2,15.07,2.02,33.52,3.27,1.16,22.95,32.54,5.97,2.32,1.43,15.89
Procellariiformes,Oceanodroma,leucorhoa,109803,m,41.40,3.75,1.24,15.71,2.02,34.85,3.24,1.18,22.88,33.02,5.91,2.39,1.35,15.55
Procellariiformes,Oceanodroma,leucorhoa,109109,m,41.40,3.85,1.24,14.89,1.99,34.21,3.13,1.12,23,33.43,5.81,2.28,1.43,15.74
Procellariiformes,Oceanodroma,leucorhoa,107146,m,41.40,4.65,1.55,16.52,2.25,35.94,3.79,1.43,24.37,34.07,6.71,2.41,1.5,15.99
Procellariiformes,Pachyptila,salvini,111189,f,159.00,6.96,2.23,25.23,3.62,57.73,5.48,1.8,32.09,50.35,10.12,3.54,2.71,21.75
Procellariiformes,Pelecanoides,garnotii,105333,f,239.00,7.51,2.27,27.09,3.13,52.02,6.03,1.99,32.43,50.17,8.59,4.16,2.83,25.55
Procellariiformes,Pelecanoides,magellani,104237,m,134.00,6.39,2.2,24.93,3.66,45.9,5.48,1.66,29.11,45.17,9.3,3.79,2.72,25.43
Procellariiformes,Thalassarche,bulleri,110724,m,2840.00,24.17,7.86,70.97,11.46,252,22.23,6.76,77.7,135.84,33.48,11.44,11.89,64.67
Procellariiformes,Thalassarche,bulleri,110721,m,2840.00,28.22,8.12,79.83,15.2,275,24.78,7.32,85.39,270,35.34,11.47,12.18,68.8
Procellariiformes,Thalassarche,cauta,110722,f,3700.00,29.47,8.56,84.75,12.98,308.91,26.78,7.41,87.29,182,41.17,13.68,13.86,72.09
Procellariiformes,Thalassarche,melanophrys,104233,m,3922.00,26.38,8.07,84.21,13.64,292,25.46,7.78,86.39,165,35.71,13.08,14.24,71.22
Psittaciformes,Amazona,albifrons,109594,m,206.00,9.35,3.13,39.25,3.58,44.05,9.32,3.99,18.28,52.27,11.29,3.95,3.26,32.45
Psittaciformes,Amazona,amazonica,104438,f,370.00,10.09,3.18,45.3,5.32,54.93,10.82,4.31,20.5,61.34,12.02,4.8,3.52,36.4
Psittaciformes,Amazona,amazonica,110382,m,370.00,12.95,3.81,45.18,6.49,54.67,12.86,4.37,21.06,61.22,15.99,4.78,4.81,40.56
Psittaciformes,Amazona,farinosa,110676,m,626.00,16.12,4.97,51.66,4.87,63.96,16.57,7.05,24.45,73.54,16.23,5.97,4.71,44.27
Psittaciformes,Amazona,leucocephala,102305,m,227.00,8.99,2.78,40.03,4.56,48.43,9.87,4.09,20.6,55.81,12.8,3.91,3.15,34.62
Psittaciformes,Amazona,ochrocephala,109596,f,440.00,13.22,4.34,47.48,5.04,56.74,14.87,4.83,22.53,64.2,13.66,5.2,3.93,41.63
Psittaciformes,Amazona,ochrocephala,110383,m,440.00,12.87,3.75,42.6,5.78,53.45,9.79,4.08,20.38,60.01,15.21,5.14,4.05,39.58
Psittaciformes,Amazona,ochrocephala,110247,m,440.00,15.45,4.22,50.5,5.07,61.79,13.71,4.94,20.9,65.08,16.97,5.23,3.98,43.44
Psittaciformes,Amazona,ochrocephala,102318,m,440.00,13.96,3.87,44.32,5.55,55.95,14.28,4.97,21.25,57.49,17.91,5.21,3.99,39.76
Psittaciformes,Amazona,ochrocephala,109595,m,440.00,14.05,4.43,50.21,4.68,59.44,17.13,5.33,24.09,66.3,19.98,5.15,4.02,42.32
Psittaciformes,Cacatua,galerita,109636,m,790.00,16.36,5.28,57.25,5.51,81.51,14.11,5.84,26.69,78.28,19.52,6.58,5.16,46.34
Psittaciformes,Cacatua,sanguinea,109641,f,488.00,11.78,3.82,46.94,5.04,66.28,11.74,3.9,22.69,65.38,16.87,5.38,3.95,40.67
Psittaciformes,Cacatua,sanguinea,109928,m,562.00,13.14,4.09,47.23,8.48,70.18,13.15,4.34,22.61,69.53,18.3,5.72,3.5,37.5
Psittaciformes,Eclectus,roratus,110374,f,561.00,15.91,3.92,49.43,5.84,66.97,10.99,3.88,23.85,66.37,15.49,5.7,4.38,42.19
Psittaciformes,Eclectus,roratus,109602,f,561.00,11.82,3.68,46.91,5.29,63.2,12.02,4.16,22.82,63.79,15.38,5.7,3.88,39.99
Psittaciformes,Eclectus,roratus,110373,m,561.00,9.38,3.56,48.13,6.16,64.32,11.79,5.04,22.75,65.47,14.86,5.72,3.67,40.84
Psittaciformes,Eclectus,roratus,109603,m,561.00,11.18,3.64,45.51,5.88,59.88,10.85,4.17,21.87,60.96,17.17,5.68,3.97,38.92
Psittaciformes,Micropsitta,pusio,103970,m,14.00,3.69,1.17,14.6,1.31,13.2,3.6,1.45,7.74,19.06,3.97,1.25,1.03,12.39
Psittaciformes,Nestor,notabilis,110765,f,779.00,18.67,5.09,62.04,6.59,72.59,15.75,4.74,43.45,92.83,20.9,6.62,5.15,48.15
Psittaciformes,Nestor,notabilis,110767,f,779.00,19.5,5.34,63.77,7.53,76.66,13.66,4.86,43.65,94.32,20.49,6.65,4.96,50.18
Psittaciformes,Nestor,notabilis,110764,m,956.00,18.12,5.74,66.72,5.35,79.54,18.1,5.38,45.13,96.86,20.72,7.11,5.55,51.86
Strigiformes,Bubo,scandiacus,107608,m,1806.00,26.18,7.64,82.71,9.1,140.88,22.97,8.9,51.62,107.75,27.36,9.36,8.85,59.42
Strigiformes,Bubo,virginianus,109152,m,914.00,22.69,6.92,79.57,5.11,126.51,25.05,7.85,61.38,119.24,23.75,6.98,6.77,52.9
Strigiformes,Bubo,virginianus,105868,f,1142.00,22.56,8.12,87.84,9.38,140.99,29.58,9.62,64.09,128.74,30.93,7.74,7.59,61.87
Strigiformes,Bubo,virginianus,111083,f,1142.00,21.46,7.91,84.53,9.06,126.89,27.6,9.51,63.86,123.41,28.78,7.7,8.03,58.95
Strigiformes,Bubo,virginianus,112346,f,1142.00,24.94,7.87,85.3,9.26,136.88,27.1,9.54,64.4,123.73,26.81,7.72,7.09,59.83
Strigiformes,Bubo,virginianus,109151,f,1142.00,27.13,8.5,87.1,9.97,136.09,26.87,9.17,67.95,125.12,28.47,7.77,7.99,60.88
Strigiformes,Strix,occidentalis,104255,m,566.00,16.33,5.09,67.72,5.7,99.97,20.09,5.36,51.94,95.57,19.71,5.71,4.41,42.93
Strigiformes,Tyto,alba,111113,m,330.00,15.49,4.86,59.01,5.31,97.67,18.37,5.03,75.67,105.31,18.08,4.56,4.8,39.55
Strigiformes,Tyto,alba,109629,f,370.00,14.79,5.16,63.07,5.37,104.05,19.75,5.27,79.07,110.85,20.07,4.78,4.76,41.89
Strigiformes,Tyto,alba,107159,f,370.00,16.86,4.7,57.5,5.61,93.58,16.99,4.59,67.75,99.47,19.14,4.79,4.85,38.22
Strigiformes,Tyto,alba,107160,f,370.00,19.01,4.92,59.14,5.64,95.56,15.07,4.89,71.88,102.1,17.84,4.79,4.49,39.68
Strigiformes,Tyto,alba,110411,f,370.00,16.09,4.82,60.51,6.97,98.24,12.73,4.84,76.69,104.1,18.99,4.81,4.89,39.04
Suliformes,Pelecanus,erythrorhynchos,110867,f,4970.00,39.09,11.82,104.53,12,301,31.04,9.22,110.25,173,50.57,18.51,15.26,115.88
Suliformes,Pelecanus,onocrotalus,105864,f,7590.00,35.6,12.54,107.71,15.6,298,44.19,13.54,115.18,196,54.8,16.54,17.23,125.93
Suliformes,Pelecanus,rufescens,105865,f,4920.00,40.76,13.1,104.62,16.66,297,38.17,11.54,95.58,151.22,49.58,16.55,16.02,119.22
Suliformes,Phalacrocorax,africanus,103559,m,545.00,17.25,3.99,36.42,5.12,92.82,15.64,4.91,35.5,60.21,14.5,5.85,3.56,47.04
Suliformes,Phalacrocorax,africanus,105268,m,545.00,15.67,3.84,38.68,5.07,90.17,13.41,4,35.23,61.71,17.88,5.88,3.51,46.76
Suliformes,Phalacrocorax,africanus,103654,m,545.00,14.49,3.8,39.89,5.05,94.61,15.3,4.57,37.29,65.52,15.11,5.85,3.57,47.88
Suliformes,Phalacrocorax,atriceps,111193,m,2716.00,30.25,6.37,67.67,10.33,169,23.09,7.2,67.18,129.62,26.35,10.89,6.59,81.86
Suliformes,Phalacrocorax,auritus,107560,f,1540.00,22.16,6.8,56.75,6.18,144.31,20.55,6.46,63.15,100.16,22.91,8.82,5.71,70.02
Suliformes,Phalacrocorax,auritus,110316,f,1540.00,24.17,6.83,57,6.75,142.07,20.41,5.74,61.37,105.41,23.11,9.01,5.79,68.8
Suliformes,Phalacrocorax,auritus,102879,m,1808.00,25.43,6.76,61.16,6.89,157,22.91,6.52,64.79,104.96,27.19,9.46,6.01,74.58
Suliformes,Phalacrocorax,auritus,109723,m,1808.00,19.81,6.32,57.96,7.4,144.26,22.07,6.74,62.1,98.85,24.58,9.48,6.41,69.44
Suliformes,Phalacrocorax,auritus,107561,m,1808.00,25.26,6.58,60.9,7.34,154.12,19.21,5.24,63.69,108.87,27.16,9.4,5.78,75.57
Suliformes,Phalacrocorax,auritus,105867,m,1808.00,24.96,5.72,55.55,9.6,147,26.2,6.7,60.52,100.41,26.28,9.49,6.21,72.13
Suliformes,Phalacrocorax,brasilianus,105904,f,1070.00,17.88,4.98,48.77,6.8,115.8,19.04,5.19,49.64,79.62,19.41,7.37,4.49,59.51
Suliformes,Phalacrocorax,carbo,103839,m,2283.00,24.55,7.13,55.07,11.45,145.13,26.11,6.64,59.18,101.95,22.21,10.22,5.56,73.98
Suliformes,Phalacrocorax,gaimardi,105992,m,1379.00,26.39,6.23,49.43,7.1,118.01,25.19,5.31,49.38,99.32,21.06,8.52,5.17,60.55
Suliformes,Phalacrocorax,melanoleucos,110792,m,822.00,15.39,4.29,45.34,5.99,108.27,16.98,4.71,43,72.89,18.58,6.88,4.08,53.66
Trogoniformes,Trogon,citreolus,105913,m,79.00,5.39,1.7,21.77,3.14,32.19,4.1,1.28,15.14,28.53,8.98,2.54,1.81,25.11
Trogoniformes,Trogon,collaris,107472,f,64.20,6.41,2.05,20.87,3.22,28.24,4.48,1.45,14.52,29.51,9.03,2.33,1.85,22.82
Apodiformes,Apus,affinis,103656,M,36.00,3.69,1.1,14.98,2.38,10.05,6.28,1.41,8.1,21.5,3.8,1.62,1.56,11.82
Apodiformes,Anthrocothorax,dominicus,109649,F,5.10,1.98,0.61,9.02,1.78,6.02,4.12,0.82,6.21,12.87,2.06,0.82,1.37,8.55
Apodiformes,Hemiprocne,mystacea,104787,F,70.10,7.09,1.75,19.23,3.71,24.92,6.87,1.84,9.97,24.25,10.8,2.24,2.81,19.82
Apodiformes,Chaetura,pelagica,102349,F,23.60,3.44,0.75,16.22,2.72,9.39,3.06,0.68,11.96,23.9,6.87,1.39,1.4,12.36
Apodiformes,Phaethornis,augusti,137375,M,6.00,2.53,0.5,8.18,1.68,5.45,5.11,0.76,4.56,12.32,2.15,0.9,1.33,7.77
Apodiformes,Phaethornis,bourcieri,101521,M,4.30,1.57,0.49,7.26,1.61,5.03,1.46,0.38,4.81,10.91,3.46,0.71,1.2,7.24
Caprimulgiformes,Phalaenoptilus,nuttallii,103637,M,47.20,4.6,1.48,20.94,2.77,31.12,3.82,1.32,18.14,31.16,8.23,1.93,1.84,18.19
Caprimulgiformes,Chordeiles,minor,109240,M,79.30,4.8,1.69,22.83,3.18,41.38,4.45,1.64,14.14,30.37,6.35,2.49,1.98,20.97
Caprimulgiformes,Podager,nacunda,103235,M,159.00,6.85,2.29,32.41,4.73,61.08,14.78,2.11,25.77,45.86,6.78,4.03,2.95,29.74
Caprimulgiformes,Caprimulgus,macrurus,104721,M,66.20,6.18,1.78,23.65,3.23,38.66,4.19,1.91,16.34,32.61,10.18,2.73,2.03,22.04
Caprimulgiformes,Caprimulgus,vociferus,102387,F,50.30,4.98,1.7,20.32,3.02,30.42,5.05,1.73,16.85,30.95,8.34,2.09,1.85,17.48
Caprimulgiformes,Nyctidromus,albicollis,107473,M,53.20,6.72,1.96,23.66,3.22,35.63,4.98,1.55,26.69,39.03,9.66,2.24,2.07,20.24
Caprimulgiformes,Aegotheles,insignis,104654,M,78.50,6.81,2.04,24.31,3.03,37.8,6.5,1.77,21.78,42.56,9.84,2.23,2.91,18.97
Caprimulgiformes,Aegotheles,albertisi,104653,F,35.20,3.85,1.26,19,1.84,26.94,3.16,0.99,20.24,33.28,5.28,1.81,1.87,13.51
Caprimulgiformes,Caprimulgus,clarus,103708,F,42.50,5.04,1.47,21.12,2.72,31.79,3.84,1.3,21.34,32.14,8.51,2.14,1.72,18.71
Falconiformes,Milvago,chimango,104254,F,296.00,14.1,4.13,45.04,4.71,64.84,9.95,3.4,59.04,70.72,14.51,4.51,4.68,29.29
Psittaciformes,Myiopsitta,monachus,109607,M,120.00,7.52,2.32,27.32,3,30.6,5.37,2.03,15.39,37.54,9.63,3.02,2.4,24.28
Psittaciformes,Melopsittacus,undulatus,107527,M,29.20,4.3,1.27,18.37,2.25,19.15,3.6,1.4,13.02,26.95,6.16,2.42,1.53,18.35
Strigiformes,Tyto,alba,111168,F,370.00,16.27,5.2,61.44,6.74,102.02,15.71,5.01,77.76,111.35,18.85,6.41,4.99,42.14
Strigiformes,Strix,nebulosa,110957,M,890.00,20.93,6.75,88.28,8.97,132.41,19.95,7.25,53.17,118.83,29.6,6.3,6.41,54.07
Strigiformes,Strix ,varia,112045,F,801.00,18.45,5.91,73.65,6.78,105.88,21.12,7.18,55.88,102.58,19.98,6.06,4.58,45
Strigiformes,Ninox,novaeseelandiae,110796,F,213.00,9.51,3.13,38.73,4.22,55.44,10.38,3.51,32.44,58.88,11.32,3.48,3.87,26.67
Strigiformes,Strix,leptogrammica,107157,M,970.00,16.08,4.96,63.25,6.21,105.43,19.23,6.33,52.78,96.81,19.16,5.74,5.7,42.14
Strigiformes,Otus,kennicottii,103712,M,192.00,10.71,2.99,39.68,3.29,51.81,9.43,3.19,35.51,56.97,11.85,2.7,2.59,25.15
Strigiformes,Asio ,flammeus,107606,M,315.00,16.16,3.97,56.48,5.96,88.89,12.38,4.35,43.77,81.37,17.01,4.85,4.76,36.19
Strigiformes,Asio,capensis,105574,M,334.00,12.93,3.88,55.25,5.25,90.49,12.53,4.97,55.84,89.99,14.28,4.74,3.97,37.38
Strigiformes,Otus,flammeolus,112037,F,65.60,6.05,1.97,27.47,2.43,38.46,4.87,1.83,23.29,43.18,7.16,2.4,1.88,19.87
Strigiformes,Athene,cunicularia,102300,F,156.00,9.47,2.81,38,3.36,55.45,7.58,2.68,47.68,65.8,10.35,3.25,2.28,27.43
Strigiformes,Athene,noctua,104108,F,164.00,10.48,2.95,39.16,3.42,50.15,11.74,3.44,34.96,57.39,11.81,2.89,3.31,34.91
Strigiformes,Otus,lempiji,107156,F,142.00,8.98,2.89,37.21,3.12,54.76,10.52,2.97,32.89,55.96,10.23,3.29,2.57,24.28
Strigiformes,Glaucidium,perlatum,103707,F,91.00,8.22,2.62,31.27,2.64,37.96,10.58,3.62,20.57,40.7,9.16,2.8,1.87,23.72
Trogoniformes,Trogon ,personatus,105332,F,63.40,5.59,1.98,19.9,2.92,28.03,4.18,1.3,14.62,27.35,10.63,2.36,1.75,21.6
Trogoniformes,Pharomacrus,auriceps,142576,F,180.00,11.26,3.03,30.54,4.68,45.03,8.23,2.33,18.99,39.44,14.68,3.96,2.73,32.25
Coraciiformes,Aceros,undulatus,107215,M,2515.00,32.63,9.39,82.31,11.43,121.14,22.36,9.71,59.14,113.47,38.21,10.72,7.62,66.87
Coraciiformes,Megaceryle,torquata,109939,M,317.00,13.37,3.16,33.25,5.01,59.68,8.02,2.86,14.86,45.67,15.45,4.33,2.81,41.2
Coraciiformes,Syma,torotoro,103945,M,37.70,5.93,1.46,17.23,2.17,25.55,5.15,1.63,13.15,28.92,7.53,1.94,1.3,19.67
Coraciiformes,Phoeniculus,purpureus,105290,M,86.60,7.32,2.32,26.66,2.75,32.95,6.66,1.84,23.74,39.11,7.94,2.49,1.71,22.93
Coraciiformes,Upupa,epops,103352,F,66.00,6.35,2.16,23.36,3.21,32.29,5.98,1.65,19.94,35.06,6.74,2.61,1.83,22.76
Coraciiformes,Todus,angustirostris,103444,M,7.50,2.28,0.78,10.64,0.95,13.69,1.51,0.56,13.74,16.89,2.98,0.92,0.78,10.29
Coraciiformes,Merops,albicollis,107069,F,25.90,3.35,1.08,15.11,1.87,24.64,2.98,1.27,10.54,21.02,5.22,1.78,1.3,15.7
Coraciiformes,Momotus,momota,103071,M,112.00,8.76,2.25,28.01,3.31,38.77,7.18,1.85,28.36,42.39,10.13,3.18,2.15,28.62
Coraciiformes,Dacelo,novaeguineae,105830,M,313.00,11.52,3.32,40.01,4.74,68.37,10.57,3.9,25.84,60.72,14.81,3.8,2.95,42.12
Coraciiformes,Tockus,nasutus,105930,F,183.00,8.27,2.91,35.57,3.95,48.3,7.4,3.43,34.53,55.13,11.13,3.23,2.35,25.84
Coraciiformes,Coracias,caudata,105293,F,110.00,8.08,2.14,30.03,3.27,47.81,5.91,2.47,22.62,40.67,9.92,3.21,1.98,25.43
