FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
	C. cotournix	61366	CF	TG	-0,9872	1,5443	0,8797	0,6803	0,7412	0,4183	1,4953	0,5988	0,5775	0,4533	1,4556	0,0645	1,2958	0,2148	0,5238	1,5798	0,4014	0,4133		1,4417
	C. cotournix	64806	CF	TG	-1,0200	1,5477	0,8831	0,7093	0,7459	0,3892					1,4499	0,0374	1,2806	0,2041	0,5453	1,5611	0,3579	0,3503	1,6544	1,4400
Podicipedidae	Podiceps nigricollis	35731	CF	A	-0,4728	1,8294	1,2276	0,9175	0,8235	0,4548	1,7882	0,6551	0,6542	0,4150	1,7783	0,1430	1,4823	0,2504	0,5328	1,4713	0,4487	0,5623	1,8684	1,6087
	P. nigricollis	35732	CF	A	-0,3502	1,8453	1,3122	0,9138	0,8376	0,5798	1,8054	0,6758	0,6767	0,4609	1,7923	0,2553	1,4954	0,2967	0,5224	1,5007	0,5391	0,6128	1,9075	1,6309
	P. nigricollis	35734	CF	A	-0,3963	1,8361	1,2049	0,8904	0,8248	0,5065	1,7918	0,6454	0,6758	0,4281	1,7808	0,2504	1,4817	0,2718	0,4900	1,5139	0,4843	0,5647	1,8906	1,6078
	P. nigricollis	35736	CF	A	-0,4351	1,8307	1,2109	0,8555	0,8215	0,5328	1,7946	0,6561	0,6785	0,4233	1,7848	0,2330	1,4871	0,2878	0,5185				1,8951	1,6146
	Podiceps cristatus	46892	CF	A	-0,0022	2,0170	1,4050	1,0461	1,0233	0,7267	1,9819	0,8432	0,8407	0,6222	1,9690	0,4914	1,6548	0,4099	0,6523	1,6199	0,7152	0,7745	2,0629	1,7846
	P. cristatus	56440	CF	A	-0,0066	2,0015	1,3879	1,0282	0,9845	0,6857	1,9637	0,8280	0,8189	0,6170	1,9508	0,4065	1,6503	0,4314	0,6464	1,6080	0,6675	0,7210	2,0605	1,7795
	P. cristatus	47186	CF	A	0,0969		1,4373	1,0599	1,0531		2,0126	0,8893	0,8507	0,6730	2,0022	0,4997	1,6856	0,4669	0,6831	1,6477	0,7226	0,7657	2,1048	1,8305
	Aechmophorus clarkii	42998	CF	A	0,1156	2,0611	1,5598	1,0741	1,0398	0,7177	2,0167	0,8482	0,8445	0,6831	2,0043	0,4378	1,7084	0,4684	0,6739	1,6590	0,7284	0,8116	2,1459	1,8699
	A. clarkii	44677	CF	A	0,1106	2,0599	1,4826	1,0599	1,0310	0,6646	2,0159	0,8357	0,8312	0,6212	2,0067	0,4150	1,7013	0,4425	0,6628	1,6477	0,7235	0,8048	2,1524	1,8723
	A. clarkii	54950	CF	A	0,0086	2,0650	1,5478	1,0488	1,0453	0,6628	2,0117	0,8306	0,8222	0,5911	2,0023	0,3385	1,6943	0,3892	0,6325	1,6635	0,7118	0,8096	2,1461	1,8808
	A. clarkii	76789	CF	A	-0,0726	2,0502	1,5037	1,0792	1,0086	0,6618	1,9985	0,8176	0,7860	0,6064	1,9903	0,4669	1,6944	0,4518	0,6599	1,6435	0,7042	0,7694	2,1330	1,8499
	Tachybaptus ruficollis	*18646	CF	A	-0,7570	1,8241	1,1688	0,8525	0,7709	0,4969	1,7882	0,6646	0,6730	0,4518	1,7797	0,1761	1,4496	0,2672	0,4814	1,4880	0,4579	0,5717	1,8637	1,6120
Pteroclidae	Syrrhaptes paradoxus	57849	CF	TG	-0,5638	1,6038	1,0785	0,8814	0,9494	0,6444	1,6535	0,7889	0,8129	0,6212	1,6046	0,3324	1,4298	0,3909	0,8319	1,5837	0,5403	0,5263	1,6985	1,3516
	S. paradoxus	59831	CF	TG	-0,5935	1,6319	1,1173	0,9533	0,9745	0,6375	1,6762	0,7945	0,8414	0,5832	1,6281	0,3503				1,6037	0,5276	0,5238	1,6998	1,3522
	S. paradoxus	59841	CF	TG	-0,5719	1,6209	1,1062	0,8722	0,9624	0,6355	1,6587	0,8048	0,7973	0,5563	1,6154	0,2765	1,4414	0,3838	0,7882	1,5769	0,5011	0,4955	1,6809	1,3491
	S. paradoxus	59842	CF	TG	-0,5884	1,6212	1,0611	0,8573	0,9881	0,6484	1,6669	0,8062	0,7860	0,5575	1,6226	0,3345		0,3997		1,5904	0,5453	0,5416	1,6949	1,3430
Columbidae	Ptilinopus regina	62874	FG	TN	-0,8706	1,4804	0,9170	0,7419	0,8432	0,4800	1,5623	0,6375	0,6365	0,3997	1,5175	0,1584	1,3045	0,1732	0,6474	1,4553	0,3766	0,3385	1,4964	1,3290
	P. regina	62961	FG	TN	-1,0079	1,4703	0,9170	0,7177	0,8338	0,5011	1,5413	0,6042	0,6464	0,4346	1,4962	0,2068	1,3038	0,1761		1,4331	0,3927	0,3820	1,5489	1,3115
	P. regina	62976	FG	TN	-1,1079	1,4874	0,8998	0,7846	0,8494	0,4900	1,5530	0,6561	0,6415	0,3820			1,3183	0,1818	0,6749	1,4475	0,3541	0,3365	1,5580	1,3135
	P. regina	62962	FG	TN	-0,9893	1,4901	0,8831	0,7505	0,8543	0,4728	1,5552	0,6345	0,6222	0,3692	1,5095	0,1139	1,3241	0,1584	0,6435	1,4661	0,3284	0,3139	1,5834	1,3532
	Ducula rubricera	63171	FG	TN	-0,1871	1,7762	1,1847	1,0326	1,1342	0,7612	1,8412	0,9410	0,9315	0,6730	1,7926	0,4472	1,5807	0,4609	0,9440	1,7196	0,5988	0,6138	1,8220	1,5333
	D. rubricera	58730	FG	TN	-0,1805	1,7800	1,2470	1,0406	1,1468	0,7818	1,8460	0,9676	0,9590	0,6911	1,7992	0,4857	1,5813	0,4639	0,9269	1,7096	0,6767	0,6444	1,8093	1,5358
	D. rubricera	63088	FG	TN	-0,1938	1,7652	1,2109	0,9791	1,1176	0,7825		0,9420	0,9370	0,6803	1,7701	0,4409	1,5638	0,4579	0,9165	1,7011	0,6375	0,6335	1,7990	1,5104
	D. rubricera	76370	FG	TN	-0,2441	1,7545	1,1984	0,9996	1,1332	0,7559	1,8161	0,9445	0,9315	0,6365	1,7704	0,4183	1,5555	0,4116	0,9112	1,6920	0,6010	0,5999	1,8083	1,5087
	Columba rupestris	59754	FG	TG	-0,5258	1,6530	1,1303	0,8971	1,0338	0,7059	1,7091	0,7924	0,8149	0,6031	1,6679	0,3674	1,4911	0,4548	0,8716	1,6065	0,5623	0,5378	1,7367	1,4749
	C. rupestris	59755	FG	TG	-0,6308	1,6405	1,1235	0,8987	1,0278	0,6739	1,6970	0,8041	0,8149	0,5944	1,6582	0,3160	1,4908	0,4265	0,8859	1,5987	0,5539	0,4843	1,7364	1,4532
	C. rupestris	59986	FG	TG	-0,6198	1,6298	1,0726	0,8537	1,0069	0,6684	1,6895	0,7846	0,8069	0,5786	1,6535	0,3032	1,4802	0,4200	0,8669	1,5834	0,5250	0,4969	1,7332	1,4510
	C. livia	56846	FG	TG	-0,4685	1,6597	1,1449	0,9212	1,0445	0,7459	1,7326	0,8768	0,8633	0,6335	1,6858	0,3909	1,5317	0,4518	0,8960	1,6185	0,5798	0,5453	1,7581	1,4943
	C. livia	66264	FG	TG	-0,6108	1,6394	1,0878	0,8791	1,0265	0,6875	1,7139	0,8627	0,8395	0,5763	1,6671	0,3139	1,5115	0,3945	0,8525	1,5928	0,5289	0,4955	1,7394	1,4669
	C. livia	76161	FG	TG	-0,6162	1,6426	1,1126	0,8949	1,0216	0,6875	1,7214	0,8209	0,8407	0,5966	1,6821	0,3655	1,5131	0,4265	0,8710	1,6040	0,5391	0,5024	1,7418	1,4833
Podargidae	Podargus strigoides	57500	CF	TN	-0,5986	1,9012	1,4093	0,9773	1,1486	0,7101	1,9685	0,8808	0,9370	0,5944	1,9382	0,4609	1,5813	0,4014	0,8910	1,6157	0,4983	0,5224	1,8400	1,4900
	P. strigoides	62802	CF	TN	-0,5258	1,9148	1,3985	1,0137	1,1529	0,7356	1,9873	0,8785	0,9380	0,6263	1,9631	0,3962	1,6153	0,4393	0,8976	1,6516	0,5340	0,5611	1,8646	1,5379
	P. strigoides	62983	CF	TN	-0,6517	1,8743	1,3888	0,9310	1,1136	0,6849	1,9419	0,8089	0,8780	0,5366	1,9152	0,3820	1,5591	0,3243	0,8439	1,5864	0,4786	0,5238	1,8307	1,4373
	P. strigoides	79150	CF	TN	-0,3665	1,9171	1,3826	1,0370	1,1752	0,7612	1,9869	0,9112	0,9238	0,6253	1,9590	0,4425	1,6011	0,4048	0,8825	1,6320	0,5502	0,5563	1,8559	1,5171
Caprimulgidae	Chordeiles minor	59297	FG	TN	-1,1871	1,5991	1,0406	0,7559	0,8122	0,4829	1,6890	0,6325	0,6955	0,4048	1,6680	0,1492		0,2253		1,3202	0,1959	0,1987	1,4527	1,1679
	C. acutipennis	48336	FG	TN	-1,2790	1,5510	1,0141	0,7490	0,8014	0,4609	1,6675	0,6075	0,6503	0,3945	1,6410	0,0253	1,4165	0,1614	0,6096	1,2995	0,1553	0,2095		1,1807
	Caprimulgus carolinensis	48003	FG	TN	-0,9205	1,6360	1,0990	0,8525	0,9415	0,5855	1,7393	0,7284	0,7619	0,4425	1,7077	0,1072	1,4535	0,2430	0,7185	1,4376	0,2900	0,3284	1,5638	1,2667
	C. carolinensis	84731	FG	TN	-0,9469	1,6366	1,1176	0,8007	0,9122	0,6375	1,7392	0,7093	0,7846	0,4843	1,7112	0,2095	1,4462	0,2878		1,4237	0,3541	0,3945	1,5640	1,2705
	C. carolinensis	87389	FG	TN	-1,0061	1,6441	1,1281	0,8603	0,9269	0,5855	1,7334	0,6866	0,7753	0,4440	1,7090	0,1106	1,4327	0,3096	0,6866	1,4387	0,3385	0,3711	1,5735	1,2667
Hemiprocnidae	Hemiprocne mystacea	60348	FG	TN	-1,2403	1,3522	0,9657	0,7243	0,8007	0,4886	1,4161	0,5453	0,6335	0,3909	1,3820	0,0086	1,2951	0,3304	0,6703	1,2514	0,1644	0,1903	1,3426	0,9638
	H. mystacea	63244	FG	TN	-1,1884	1,3675	0,9547	0,7612	0,7882	0,4698	1,4223	0,5211	0,6274	0,3874	1,3992	0,0294	1,3066	0,2945	0,6493				1,3404	0,9736
Apodidae	Hirundapus caudacutus	46916	FG	TN	-0,9431	1,2767	0,8987	0,7938	0,8195	0,7356	1,4118	0,6812	0,7731	0,5289	1,3908	0,1987		0,5843		1,4535	0,3909	0,3909	1,6054	1,2335
	H. caudacutus	47230	FG	TN	-0,9158	1,2428	0,8686	0,8228	0,8075	0,7451	1,3986	0,6628	0,7482	0,5106	1,3668	0,1492	1,4331	0,5366	0,7396	1,4294	0,3032	0,3711	1,5693	1,2098
	H. caudacutus	47231	FG	TN	-0,9706	1,2084	0,8274	0,7903	0,7753	0,6812	1,3606	0,6425	0,7497	0,4684	1,3420	0,1673	1,4019	0,5315	0,7284	1,4148	0,2810	0,3222	1,5726	1,1917
	H. caudacutus	47345	FG	TN	-0,9245	1,2350	0,8751	0,7505	0,8062	0,6972	1,3655	0,6263	0,7284	0,4800	1,3401	0,1847	1,4005	0,5752	0,7435	1,4268	0,3139	0,3838	1,5570	1,2039
	Apus pacificus	43829	FG	TN	-1,4271	1,0777	0,7574	0,6590	0,7118	0,5575	1,2785	0,5403	0,6222	0,3054	1,2425	-0,0177	1,3019	0,3820	0,6385	1,2460	0,1461	0,1614		
	A. pacificus	43830	FG	TN	-1,4271	1,0626	0,7324	0,6212	0,7033	0,5515	1,2608	0,4955	0,6064	0,3598	1,2299	0,0531	1,2860	0,3766	0,6532	1,2655	0,1492	0,1732	1,4033	1,0354
	A. pacificus	44398	FG	TN	-1,4559	1,0626	0,6981	0,5988	0,6964	0,5328	1,2507	0,4639	0,5866	0,3483	1,2135	0,0212	1,2760	0,3784	0,6444	1,2355	0,1673	0,1492	1,3793	1,0013
	A. pacificus	46958	FG	TN	-1,3893	1,0674	0,7160	0,6201	0,7024	0,5428	1,2465	0,4472	0,5659	0,2695	1,2138	-0,0269	1,2639	0,3424	0,6149	1,2487	0,1461	0,1703	1,3909	0,9948
Aegothelidae	Aegotheles cristatus	62801	CF	TN	-1,4572	1,4338	0,8904	0,5563	0,7832	0,3263	1,5501	0,4346	0,5798	0,2455	1,5196	-0,0862	1,2548	0,1644	0,5315	1,3168	0,2279	0,2122		1,3806
	A. cristatus	62800	CF	TN	-1,3326	1,4694	0,9058	0,5843	0,7745	0,3365	1,5765	0,4814	0,4503	0,2305	1,5451	-0,1675	1,2529	0,1106	0,5587	1,3535	0,2201	0,1673	1,6018	1,3988
Cuculidae	Centropus milo	66047	CF	TG	-0,1024	1,7534	1,1411	0,9217	1,0878	0,6803	1,6659	0,8129	0,8096	0,6675	1,6189	0,3729	1,3988	0,3444	0,8555	1,8681	0,8287	0,7789	2,0500	1,8662
	Eudynamus scolopacea	62904	CF	TG	-0,6180	1,7366	1,1464	0,8470	1,0618	0,6721	1,7122	0,8169	0,8376	0,6128	1,6636	0,3202	1,4071	0,3243	0,7931	1,6401	0,5340	0,4942		1,5467
	E. scolopacea	64911	CF	TN	-0,6262	1,6926	1,1658	0,7152	1,0052	0,5866	1,6800	0,7316	0,7860	0,5378	1,6447	0,3118	1,3740	0,3365	0,7544	1,6055	0,4886	0,4814	1,7604	1,5449
	E. scolopacea	64912	CF	TN	-0,8063	1,7201	1,1816	0,7853	0,9965	0,6053	1,6965	0,7767	0,7825	0,5453	1,6534	0,1461	1,3953	0,3598	0,7679	1,6450	0,5211	0,4983	1,7892	1,5657
