FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
	D. novaeguineae	62895	CF	TN	-0,5059	1,8224	1,2238	0,9713	1,0715	0,6776	1,9188	0,8376	0,8603	0,5877	1,9006	0,3617	1,5197	0,4914	0,7896	1,5829	0,5238	0,5238	1,7591	1,4050
Coraciidae	Coracias garrulus	56480	FG	TN	-0,7721	1,7253	1,1881	0,7544	0,9518	0,5955	1,8041	0,7490	0,7760	0,5250	1,7790	0,2718	1,4573	0,4048	0,7143	1,4880	0,4133	0,3909		1,3636
	C. garrulus	56485	FG	TN	-0,7905	1,7280	1,1853	0,8162	0,9633	0,5623	1,8080	0,7396	0,7846	0,4503	1,7835	0,2923	1,4714	0,3748	0,7067	1,4969	0,3692	0,3838	1,6404	1,3749
	C. garrulus	56647	FG	TN	-0,7747	1,7512	1,2253	0,8075	0,9881	0,6021	1,8359	0,7604	0,8069	0,4843	1,8098	0,2810	1,4867	0,3365	0,6911	1,5089	0,3541	0,3962	1,6375	1,3799
	C. garrulus	56886	FG	TN	-0,8357	1,7426	1,2058	0,8704	0,9624	0,5809	1,8191	0,7497	0,7889	0,4594	1,7913	0,2788	1,4649	0,3345	0,6964	1,5012	0,3560	0,3838	1,6352	1,3700
Meropidae	Merops apiaster	56655	FG	TN	-1,1952	1,5047	0,9509	0,6551	0,7875	0,4346	1,6054	0,6345	0,6075	0,3711	1,5686	-0,0044	1,2753	0,2068	0,5428	1,2984	0,2381	0,3010	1,4268	1,0697
	M. apiaster	56657	FG	TN	-1,2403	1,4991	0,9069	0,6435	0,7731	0,4265	1,5947	0,6253	0,5888	0,3655	1,5638	0,1004	1,2636	0,1492	0,5315	1,2973	0,1614	0,2041	1,4141	1,0839
	M. apiaster	56659	FG	TN	-1,2441	1,5017	0,9440	0,6929	0,7882	0,4265	1,6009	0,6375	0,5999	0,3692	1,5660	-0,0044	1,2705	0,1847	0,5328	1,2954	0,1644	0,2095	1,4168	1,0693
Falconidae	Falco peregrinus	78840	FG	TN	0,0241	1,9498	1,4991	1,2570	1,2338	0,8876	2,0199	1,0892	1,0715	0,8476	1,9882	0,4183	1,8018	0,6484	0,9576	1,8508	0,8062	0,8274	1,9608	1,7392
	F. peregrinus	78842	FG	TN	-0,1555	1,8904	1,4281	1,2060	1,2084	0,8513	1,9666	1,0370	1,0382	0,7839	1,9315	0,3345	1,7399	0,5966	0,9576	1,8024	0,7686	0,7679	1,9106	1,6929
	F. peregrinus	87160	FG	TN	-0,0937	1,8839	1,4113	1,1942	1,1923	0,8591	1,9542	1,0362	1,0137	0,7889	1,9177	0,3579	1,7277	0,6042	0,9284	1,8095	0,7767	0,7528	1,8933	1,6733
	F. peregrinus	79327	FG	TN	0,0302	1,9614	1,5160	1,2440	1,2560	0,8921	2,0293	1,0931	1,0885	0,8357	1,9957	0,3655	1,8071	0,6365	0,9903	1,8606	0,8195	0,8209		1,7480
	F. subbuteo	56658	FG	TN	-0,6968	1,7334	1,2428	1,0052	1,0065	0,6618	1,7946	0,8537	0,8439	0,5944	1,7622	0,2279	1,5649	0,4378	0,7966				1,7529	1,5193
	F. subbuteo	47028	FG	TN	-0,6289	1,7322	1,2746	1,0162	1,0035	0,6656	1,7909	0,8357	0,8338	0,6355	1,7566	0,2041	1,5680	0,4249	0,7782	1,6328	0,5900	0,5302	1,7490	1,5462
	F. subbuteo	56644	FG	TN	-0,5436	1,7763	1,2842	1,0465	1,0253	0,6580	1,8329	0,8401	0,8463	0,6031	1,7996	0,3444	1,5877	0,4440	0,7882	1,6689	0,5453	0,5453	1,7754	1,5479
	F. subbuteo	56977	FG	TN	-0,6716	1,7509	1,2860	1,0378	1,0187	0,6712	1,8127	0,8401	0,8615	0,6117	1,7815	0,1987	1,5887	0,4233	0,7536	1,6585	0,5403	0,5515	1,7706	1,5517
	F. vespertinus	56483	FG	TN	-0,8239	1,7048	1,2178	0,9440	0,9258	0,5729	1,7601	0,7574	0,7664	0,5378	1,7310	0,1239	1,5069	0,3856		1,5561	0,4771	0,4829	1,6899	1,4672
	F. vespertinus	56486	FG	TN	-0,7520	1,7114	1,1937	0,9258	0,9294	0,5682	1,7733	0,7701	0,7796	0,5515	1,7394	0,1584	1,5379	0,3997	0,6893	1,5688	0,4609	0,4362	1,6872	1,4856
	F. vespertinus	56487	FG	TN	-0,7595	1,6994	1,1864	0,9101	0,9523	0,5763	1,7572	0,7723	0,7753	0,5563	1,7251	0,1367	1,5064	0,4440	0,7284	1,5674	0,4684	0,4914	1,6849	1,4482
Psittacidae	Ara ararauna	39897	CF	TN	-0,1007	1,9040	1,3755	1,1599	1,2263	0,9106	2,0092	1,0200	1,0592	0,7731	1,9773	0,5821	1,7829	0,6618	1,0017	1,7710	0,7796	0,7597	1,8917	1,4912
	Chalcopsitta cardinalis	58701	CF	TN	-0,6289	1,5745	1,0362	0,8055	0,8932	0,5786	1,6221	0,7226	0,7853	0,5289	1,5847	0,2381	1,4608	0,3483	0,7016	1,5634	0,4900	0,5146	1,7288	1,3021
	C. cardinalis	63146	CF	TN	-0,6819	1,5587	1,0078	0,8069	0,8921	0,5490	1,6131	0,7127	0,7597	0,4997	1,5729	0,2175	1,4609	0,3541	0,6911	1,5377	0,4594	0,4564	1,7084	1,3179
	C. cardinalis	63301	CF	TN	-0,7310	1,5666	1,0539	0,7582	0,8797	0,5694	1,6149	0,7050	0,7612	0,5441	1,5684	0,2253	1,4617	0,3598	0,6840	1,5540	0,4886	0,4914	1,7179	1,3265
	C. cardinalis	63206	CF	TN	-0,7595	1,5729	1,0554	0,7612	0,8887	0,5635	1,6190	0,6990	0,7642	0,4871	1,5831	0,2330	1,4764	0,3560	0,6849	1,5534	0,4742	0,4594	1,7284	1,3312
	Trichoglossus haematodus	62873	CF	TN	-0,9386	1,4973	0,8865	0,7218	0,8382	0,4969	1,5432	0,6532	0,7324	0,4362	1,5038	0,1732	1,4143	0,3222	0,6599	1,4840	0,3802	0,3838	1,6423	1,2188
	T. haematodus	62876	CF	TN	-0,8844	1,5042	0,9400	0,7709	0,8370	0,5635	1,5553	0,6365	0,7292	0,4900	1,5099	0,1903	1,4208	0,3674	0,6721	1,4874	0,4425	0,4099	1,6397	1,2368
	T. haematodus	62932	CF	TN	-0,8697	1,5064	0,9518	0,7093	0,8537	0,5478	1,5540	0,6294	0,7226	0,4914	1,5118	0,2227	1,4180	0,3560	0,6618	1,4857	0,4346	0,4249	1,6408	1,2383
	Psephotus haematonotus	57446	CF	TN	-1,2388	1,4045	0,7782	0,5786	0,7474	0,4265	1,4594	0,5132	0,5740	0,3424	1,4216	0,0212	1,3036	0,1875	0,5146	1,3725	0,2900	0,2923	1,5284	1,1520
Cacatuidae	Cacatua alba	82950	CF	TN	-0,1938	1,9136	1,3760	1,1796	1,1767	0,7952	1,9805	0,9274	0,9643	0,6637	1,9540	0,5353	1,6941	0,5340	0,9380	1,7505	0,7076	0,6893	1,9204	1,4487
	Eolophus roseicapillus	57644	CF	TG	-0,4547	1,7912	1,2440	1,0086	1,0682	0,7340	1,8659	0,8561	0,8932	0,6053	1,8357	0,3927	1,6615	0,4713	0,8182	1,6283	0,5211	0,5250	1,8006	1,3288
	E. roseicapillus	60857	CF	TG	-0,4248	1,7628	1,2243	1,0374	1,0712	0,7226	1,8545	0,8597	0,9069	0,6191	1,8173	0,4014	1,6502	0,4728	0,8332	1,6213	0,5453	0,5146		1,3406
Tyrannidae	Tyrannus tyrannus	35764	FB	TN	-1,4089	1,4126	0,8096	0,6170	0,7551	0,3962	1,5736	0,5877	0,5855	0,2504	1,5340	0,0374	1,2613	0,1139	0,4684	1,2999	0,1875	0,1903	1,5013	1,2907
	T. tyrannus	35765	FB	TN	-1,3143	1,3793	0,8035	0,5752	0,7709	0,3962	1,5316	0,6021	0,5866	0,2810	1,4911	0,0453	1,2363	0,1492	0,4771	1,2813	0,1818	0,1959	1,4692	1,2662
	T. tyrannus	35766	FB	TN	-1,3585	1,4188	0,8525	0,5763	0,7686	0,4116	1,5702	0,6561	0,5900	0,2967	1,5343	-0,1308	1,2735	0,1139	0,4914	1,2999	0,1875	0,1239	1,4987	1,2874
	Contopus cooperi 	34637	FB	TN	-1,4237	1,3214	0,7627	0,5172	0,6902	0,3424	1,4789	0,5539	0,5302	0,2305			1,1956	0,0531	0,4456	1,2209	0,1038	0,0934	1,3990	1,1688
	C. cooperi 	36746	FB	TN	-1,5302	1,3021	0,7033	0,5647	0,6794	0,3096	1,4652	0,5038	0,5106	0,2148	1,4255	-0,3665	1,1764	0,0607	0,3979	1,2154	0,1173	0,1239	1,4141	1,1706
	C. cooperi 	50004	FB	TN	-1,5086	1,3006	0,6990	0,5391	0,7300	0,3202	1,4506	0,5465	0,5211	0,2455	1,4104	-0,2676	1,1655	0,1106	0,4346	1,2109	0,1106	0,1072	1,3988	1,1679
Pittidae	Pitta moluccensis	73874	FB	TG	-1,2557	1,5342	0,8555	0,7528	0,8507	0,4393	1,6243	0,6739	0,6365	0,3483	1,5843	0,0212	1,2951	0,2989	0,5478	1,4658	0,3324	0,3636	1,7200	1,6151
	P. moluccensis	73875	FB	TG	-1,3516	1,5302	0,8663	0,6794	0,8573	0,4579	1,6122	0,6758	0,6335	0,4031	1,5715	0,1553	1,2898	0,2175	0,5366	1,4580	0,3598	0,3560	1,7079	1,6037
Corvidae	Corvus corax	59566	S	TGN	0,1553	2,0006	1,5138	1,2227	1,3361	0,9628	2,0726	1,1523	1,1383	0,8716	2,0320	0,4639	1,8240	0,7143	1,0542	1,8598	0,8261	0,7980	2,0654	1,8192
	C. corax	61493	S	TGN	0,1139	2,0021	1,5367	1,1773	1,3551	0,9759	2,0914	1,1605	1,1623	0,8651	2,0540	0,6233	1,8215	0,6955	1,0546	1,8624	0,8156	0,7574	2,0938	1,8510
	C. corax	64779	S	TGN	0,0212	1,9647	1,4667	1,2058	1,3174	0,9248	2,0595	1,1206	1,1146	0,8351	2,0248	0,4265	1,7984	0,7007	1,0112	1,8340	0,7846	0,7226	2,0437	
	Corvus corone	56419	S	TG	-0,2441	1,8444	1,3727	1,0759	1,2256	0,8136	1,9235	1,0611	1,0082	0,7177	1,8804	0,3820	1,6691	0,5563	0,8954	1,7524	0,6599	0,6425	1,9710	1,7792
	C. corone	56471	S	TG	-0,2403	1,8367	1,3487	1,0810	1,1830	0,7987	1,9156	0,9996	0,9881	0,7218	1,8691	0,2967	1,6440	0,6021	0,8681	1,7426	0,6484	0,6345	1,9637	1,7836
	C. corone	56925	S	TG	-0,3410	1,8278	1,3428	1,0200	1,1836	0,8021	1,9080	0,9895	0,9777	0,7143	1,8674	0,3181	1,6541	0,4997	0,8716	1,7310	0,6435	0,6149	1,9517	1,7734
	C. corone	56495	S	TG	-0,2840	1,8449	1,3764	1,0473	1,2122	0,8122	1,9261	1,0133	0,9863	0,7364	1,8840	0,3424	1,6630	0,5465	0,8927	1,7494	0,6665	0,6304	1,9684	1,7800
	Pica pica	56890	FB	TG	-0,6144	1,6676	1,1284	0,7427	1,0611	0,6233	1,7352	0,8756	0,8332	0,5527	1,6796	0,0645	1,4567	0,3997	0,7324	1,6503	0,5575	0,5211	1,8573	1,6997
	P. pica	56913	FB	TG	-0,7122	1,6207	1,1045	0,7694	1,0330	0,5888	1,6938	0,8488	0,8000	0,5340	1,6402	-0,0223	1,4123	0,3522	0,7143	1,6010	0,5276	0,4983		1,6437
	P. pica	59758	FB	TG	-0,5884		1,1787	0,8561	1,1007		1,7597	0,8943	0,8451	0,5809	1,7091	0,0864	1,4817	0,4533	0,7796	1,6562	0,5694	0,5185	1,8617	1,6992
	P. pica	59899	FB	TG	-0,6216	1,6676	1,1714	0,8663	1,0652	0,6590	1,7462	0,8797	0,8357	0,5798	1,6974	0,0453		0,3909	0,7649	1,6313	0,5428	0,4900	1,8436	1,6930
	P. pica	59931	FB	TG	-0,6947	1,6433	1,1455	0,8241	1,0398	0,5966	1,7183	0,8645	0,8102	0,5465	1,6671	0,0253	1,4335	0,3838	0,7412	1,5998	0,5263	0,4928	1,8120	1,6613
	P. pica	56707	FB	TG	-0,6517	1,6384	1,1166	0,8182	1,0298	0,6096	1,7060	0,8451	0,8014	0,5551	1,6492	0,0170	1,4249	0,3243	0,7110	1,6124	0,5527	0,5172	1,8289	1,6715
	P. pica	59759	FB	TG	-0,6615		1,1608	0,8254	1,0519	0,6325	1,7456	0,8733	0,8351	0,5988	1,6958	0,1584	1,4689	0,4233	0,7803	1,6260	0,5211	0,4942	1,8346	1,6833
	P. pica	59930	FB	TG	-0,6021	1,6971	1,2047	0,8739	1,0660	0,6675	1,7736	0,8785	0,8669	0,5988	1,7244	0,1492	1,4944	0,4728	0,7716	1,6529	0,5944	0,5441	1,8558	1,7145
Alaudidae	Alauda arvensis	44634	FB	TG	-1,4318	1,3815	0,8254	0,6345	0,6803	0,3243	1,4994	0,5821	0,5340	0,2945	1,4501	-0,2924	1,2204	0,1790	0,4378	1,2831	0,1430	-0,0223	1,5208	1,3869
	A. arvensis	44371	FB	TG	-1,3851	1,3934	0,8248	0,6263	0,7267	0,3711	1,5152	0,6117	0,5659	0,3032	1,4686	-0,0223	1,2499	0,2175	0,4728	1,2903	0,1492	0,1584	1,5298	1,3800
	A. arvensis	47527	FB	TG	-1,4622	1,4004	0,8698	0,5575	0,6998	0,3692	1,4895	0,5786	0,5198	0,2765	1,4478	-0,1612	1,2025	0,1584	0,4378	1,2943	0,1430	0,1173	1,5169	1,3835
	A. arvensis	47606	FB	TG	-1,3893	1,4011	0,8531	0,5821	0,7316	0,3579		0,5933					1,2299	0,1847		1,2894	0,1492	0,1335		1,4183
	Melanocorypha mongolica	57843	FB	TG	-1,2351	1,4698	0,8639	0,6385	0,7810	0,3856	1,5515	0,6263	0,6138	0,3222	1,5072	0,0334	1,2744	0,1492	0,5276	1,3714	0,2227	0,2041	1,5562	1,4026
	M. mongolica	57846	FB	TG	-1,2204	1,4327	0,8525	0,5659	0,7275	0,3522	1,4955	0,6075	0,5670	0,3181	1,4529	-0,1805	1,2281	0,2695	0,5119	1,3446	0,2529	0,2227	1,5452	1,3957
	M. mongolica	57848	FB	TG	-1,2628	1,4447	0,8627	0,5453	0,7210	0,3729	1,5196	0,5786	0,5705	0,3181	1,4739	-0,2292	1,2345	0,1553	0,4900	1,3636	0,2553	0,2175	1,5564	1,3906
	M. mongolica	59839	FB	TG	-1,3344	1,4302	0,8136	0,5611	0,7243	0,3424	1,5042	0,5775	0,5106	0,2989	1,4735	0,1271	1,2235	0,1959		1,3452	0,2227	0,1790	1,5470	1,3833
Cinclidae	Cinclus mexicanus	33111	FB	ATG	-1,2757	1,3263	0,6849	0,5353	0,7284	0,2945	1,3906	0,5809	0,5211	0,2718	1,3343	-0,2441	1,1741	0,1367	0,4609	1,3015	0,2095	0,2095	1,5768	1,4419
	C. mexicanus	50254	FB	ATG	-1,2441	1,3621	0,7782	0,5403	0,7490	0,3424	1,3976	0,6284	0,5763	0,2718	1,3883	0,0828	1,2274	0,2253	0,5038	1,3337	0,2406	0,2430	1,6249	1,4786
Hirundinidae	Progne subis	45892	FG	TN	-1,2757	1,3231	0,8169	0,6096	0,7657	0,3945	1,4921	0,4800	0,6096	0,3692	1,4597	0,0531	1,2674	0,2856	0,6325	1,2669	0,1399	0,1732	1,4579	1,1767
	P. subis	55860	FG	TN	-1,4547	1,3101	0,8162	0,6503	0,7604	0,3802	1,4928	0,6325	0,5988	0,3243	1,4464	0,0453	1,2368	0,2355	0,6021	1,2728	0,1206	0,1399	1,4703	1,1758
	Delychon dasypus	46966	FG	TN	-1,7077	1,1076	0,6415	0,4548	0,5798	0,1959	1,2885	0,4564	0,4216	0,1492	1,2398	-0,1427	1,0748	0,1335	0,4393	1,0913	-0,0915	-0,0410	1,2749	1,0166
	D. dasypus	46970	FG	TN	-1,6056	1,0986	0,5740	0,3909	0,6181	0,2480	1,2856	0,4346	0,4233	0,1732	1,2266	-0,1024	1,0667	0,2253	0,4914	1,0941	-0,0655	-0,0410	1,3193	1,0531
	D. dasypus	51833	FG	TN	-1,6968	1,1189	0,5798	0,4099	0,6128	0,2430	1,3166	0,4800	0,4298	0,1523			1,0803	0,1139	0,4983	1,1307	-0,0044	0,0086	1,3282	1,0558
	Tachycineta bicolor 	41607	FG	TN	-1,6576	1,1553	0,6474	0,4800	0,6284	0,2553	1,3560	0,5038	0,4564	0,1703	1,3202	-0,0757	1,0849	0,0682	0,4298	1,1486	-0,0132	0,0086	1,3520	1,0678
	T. bicolor	42308	FG	TN	-1,6478	1,1770	0,6551	0,4669	0,6493	0,2765	1,3829	0,5065	0,4969	0,2014	1,3522	-0,1612	1,1189	0,1239	0,4928	1,1389	0,0128	0,0414	1,3473	1,0763
	T. bicolor	42306	FG	TN	-1,6778	1,1575	0,6551	0,4698	0,6365	0,2695	1,3636	0,4955	0,4654	0,2201	1,3272	-0,1427	1,0973	0,1644	0,4786	1,1268		0,0334	1,3179	1,0792
Motacillidae	Macronyx croceus	52793	FB	TG	-1,2757	1,4116	0,7853	0,5132	0,7686	0,3541	1,5096	0,6435	0,5659	0,3424	1,4611	-0,0862	1,2003	0,1790	0,4503	1,3853	0,2227	0,2201	1,6553	1,5558
	M. croceus	52745	FB	TG	-1,3233	1,4198	0,8228	0,6253	0,7738	0,3560	1,5108	0,6628	0,5575	0,3032	1,4621	-0,2219	1,2028	0,1903	0,5011	1,3934	0,2227	0,2201	1,6501	1,5499
	M. croceus	52806	FB	TG	-1,2757	1,4190	0,8162	0,5563	0,8000	0,3820	1,5160	0,6758	0,5729	0,3160	1,4684	-0,2366	1,1827	0,1931	0,5052		0,2810	0,2504	1,6626	1,5677
	Anthus spinoletta	46586	FB	TG	-1,6840	1,2778	0,6902	0,4200	0,6325	0,2253	1,3902	0,4698	0,4314	0,1790	1,3426	-0,1367	1,0748	0,1173	0,3784	1,2111	0,0453	0,0334	1,4717	1,3399
	A. spinoletta	46597	FB	TG	-1,6383	1,3107	0,7619	0,5024	0,6902	0,2833	1,4195	0,5416	0,4440	0,1959			1,0955	0,1072	0,3385	1,2162	0,0719	0,0569	1,4789	1,3444
	A. spinoletta	46610	FB	TG	-1,6383	1,3137	0,7818	0,4728	0,6794	0,3010	1,4237	0,5024	0,4654	0,2430	1,3786	-0,1249	1,1014	0,0969	0,3784	1,2178	0,0756	0,0414	1,4911	1,3537
	A. spinoletta	57992	FB	TG	-1,6576	1,3021	0,7451	0,4914	0,6767	0,2718	1,4155	0,5611	0,4728	0,1959	1,3647	-0,0862	1,0955	0,0374	0,3874	1,2248	0,0934	0,0864	1,4748	1,3460
	Motacilla flava	46234	FB	TG	-1,7670	1,2443	0,6233	0,2765	0,6064	0,1959	1,3751	0,4742	0,4330	0,1461	1,3247	-0,3372	1,0686	-0,0269	0,3503	1,1870	0,0453	0,0253	1,5023	1,3649
	M. flava	48300	FB	TG	-1,7447	1,2368	0,6170	0,3838	0,5786	0,2041	1,3591	0,4456	0,4216	0,1492	1,3241		1,0641	0,0414	0,3483	1,2009	0,0334	-0,0757	1,5099	1,3969
	M. cinerea	44455	FB	TG	-1,7825	1,2490	0,6849	0,4378	0,5694	0,2227	1,3597	0,4997	0,4183	0,1430	1,3222	-0,1367	1,0686	-0,0915	0,3424	1,1853	0,0682	0,0414	1,4450	1,3049
	M. cinerea	44471	FB	TG	-1,7932	1,2355	0,6243	0,4409	0,6107	0,2330	1,3606	0,4698	0,4183	0,1523	1,3153	-0,1612	1,0730	0,1072	0,3365	1,1758	0,0531	0,0212	1,4476	1,3028
Prunellidae	Prunella modularis	44879	FB	TG	-1,7100	1,2240	0,6243	0,3598	0,6010	0,1790	1,2672	0,4378	0,3404	0,1072	1,2175	-0,3468	0,9854		0,3054	1,2408	0,0899	0,0453	1,4709	1,3162
	P. modularis	44880	FB	TG	-1,7423	1,2143	0,7050	0,4346	0,6085	0,1461	1,2716	0,4654	0,3692	0,1106	1,2117	-0,4089	0,9832	-0,1675	0,3243	1,2222	0,1139	0,0682	1,4545	1,3130
	P. modularis	44895	FB	TG	-1,6840	1,2330	0,6857	0,3979	0,6222	0,1673	1,2765	0,4440	0,3579	0,1072	1,2225	-0,3979	1,0030	0,0453	0,3181	1,2562	0,1461	0,0492	1,4760	1,3179
Turdidae	Turdus ruficollis	56784	FB	TG	-1,1192	1,4467	0,8762	0,5798	0,8332	0,4654	1,5578	0,7042	0,6435	0,3856	1,5022	-0,1675	1,2965	0,1931	0,5599	1,4472	0,3444	0,3054	1,6777	1,5196
	T. ruficollis	58048	FB	TG	-1,1002		0,9207	0,6454	0,8549		1,5547	0,7059	0,6590	0,3711			1,2900	0,3160	0,6107	1,4428	0,3243	0,3096		1,5011
	T. ruficollis	59994	FB	TG	-1,1079	1,4545	0,8965	0,6053	0,8122	0,4346	1,5607	0,6857	0,6703	0,4082	1,5143	-0,2518	1,2817	0,2742	0,5977	1,4409	0,2742	0,2577	1,6864	1,5288
	T. ruficollis	58076	FB	TG	-1,0640	1,4620	0,8802	0,6866	0,8395	0,4713		0,7218		0,4048			1,2833	0,2765	0,5855	1,4579	0,3711	0,3464	1,6849	1,5179
	T. iliacus	56570	FB	TG	-1,2403	1,3749	0,8075	0,6212	0,7839	0,3692	1,4738	0,6128	0,5694	0,2788	1,4208	-0,3188	1,2225	0,1430	0,5185	1,3623	0,2601	0,2095	1,5972	1,4447
	T. iliacus	56550	FB	TG	-1,2147	1,3988	0,7903	0,5647	0,7716	0,3892	1,4967	0,6395	0,5911	0,3324	1,4456	-0,1805	1,2448	0,2122	0,5340	1,3972	0,2810	0,2430	1,6294	1,4523
	T. iliacus	59607	FB	TG	-1,1549	1,4007	0,8048	0,6454	0,7980	0,3802	1,5020	0,6542	0,6010	0,3404	1,4455	-0,2007	1,2287	0,1492	0,5065	1,4110	0,2625	0,2625	1,6382	1,4836
	Catharus fuscescens	45998	FB	TG	-1,5186	1,3066	0,7846	0,4969	0,7135	0,2695	1,4216	0,5441	0,5132	0,2068	1,3707	-0,0223	1,1255	0,0607	0,4503	1,3241	0,1271	0,1206	1,5876	1,4716
	C. fuscescens	45999	FB	TG	-1,5834	1,2755	0,6911	0,4166	0,6107	0,2553	1,3771	0,4871	0,4684	0,1790	1,3324	-0,4089	1,0903	-0,0223	0,4031	1,2914	0,1673	0,1206	1,5544	1,4299
	C. fuscescens	46000	FB	TG	-1,6478	1,3139	0,7152	0,4409	0,6551	0,3075	1,4158	0,4330	0,4997	0,2122	1,3845	-0,2219	1,1514	0,0645	0,4757	1,3172	0,1553	0,1239	1,6010	1,4776
	C. fuscescens	46001	FB	TG	-1,5834	1,3371	0,7490	0,5106	0,7084	0,3304	1,4526	0,5527	0,5185	0,2504	1,3988	-0,2596	1,1424	0,0828	0,4771	1,3456	0,2279	0,1614	1,5996	1,4976
Sylviidae	Acrocephalus arundinaceus	56436	FB	TN	-1,4622	1,2940	0,6405	0,3424	0,6425	0,2504	1,3870	0,5146	0,4814	0,1959	1,3393	-0,3566	1,1427	0,1239	0,4200	1,3890	0,2504	0,2122	1,6323	1,4877
	A. arundinaceus	56679	FB	TN	-1,4597	1,2781	0,6085	0,4487	0,6503	0,2175	1,3714	0,4997	0,4487	0,1553	1,3197	-0,3279	1,1156	0,0934	0,3997	1,3543	0,2095	0,1761	1,5924	1,4492
	A. arundinaceus	56685	FB	TN	-1,4789	1,3058	0,6776	0,4942	0,6730	0,2480	1,4031	0,5224	0,4969	0,1931	1,3528	-0,3768	1,1415	0,0864	0,4409	1,3872	0,2175	0,1903	1,6359	1,4937
	Phylloscopus trochilus	44517	FB	TN	-2,0000	1,1149	0,5276	0,3874	0,5478	0,1206	1,2279	0,3802	0,3385	0,0531	1,1703	-0,6778	0,9557	-0,0809	0,2989	1,1252	-0,0362	-0,0269	1,4195	1,2883
	P. trochilus	44518	FB	TN	-2,0044	1,1136	0,5599	0,2900	0,5106	0,1004	1,2430	0,3054	0,3181		1,1967	-0,5229	0,9934	0,0756	0,2765	1,1307	0,0170	-0,0915	1,4254	1,2971
	P. trochilus	44898	FB	TN	-2,0555	1,0737	0,4997	0,1818	0,4814	0,0453	1,1920	0,2788	0,2788	-0,0458	1,1427	-0,4815	0,9310	-0,0809	0,2227	1,1048	-0,0862	-0,1135	1,3922	1,2582
Muscicapidae	Monticola saxatalis	57835	FB	TGN	-1,3279	1,3780	0,8069	0,5623	0,7716	0,3692	1,4897	0,6160	0,5786	0,2900	1,4393	0,0374	1,2340	0,1644	0,5289	1,3714	0,2330	0,1761	1,5959	1,4448
	M. saxatalis	60159	FB	TGN	-1,3439	1,3789	0,8426	0,6064	0,8007	0,3692	1,5072	0,6425	0,5922	0,3404	1,4535	0,0414				1,3631	0,2718	0,2095		1,4288
	Oenanthe oenanthe	44209	FB	TGN	-1,6108	1,2806	0,7694	0,5024	0,6758	0,2529	1,4280	0,4955	0,4969	0,1987	1,3869	-0,2757	1,1452	0,0294	0,4233	1,2584	0,1106	0,0492	1,5518	1,4434
	O. oenanthe	44524	FB	TGN	-1,6364	1,2700	0,7135	0,4742	0,6703	0,2504	1,4067	0,4771	0,4713	0,1614	1,3729	-0,3372	1,1358	0,0682	0,4082	1,2494	0,0899	0,1004	1,5532	1,4436
	O. oenanthe	44525	FB	TGN	-1,5560	1,2847	0,7443	0,5024	0,6561	0,2856	1,4333	0,5092	0,4983	0,2148	1,3932	-0,1367	1,1581	0,1644	0,4298	1,2558	0,1430	0,1038	1,5454	1,4516
	Erithacus rubecula	44883	FB	TN	-1,7852	1,2103	0,6170	0,3284	0,6107	0,2041	1,3158	0,4116	0,3962	0,1106	1,2648	-0,2840	1,0000	0,0128	0,3181	1,2130	0,0414	0,0334	1,5222	1,4171
	E. rubecula	44884	FB	TN	-1,7352	1,1878	0,6274	0,3444	0,6284	0,1492	1,2856	0,4014	0,3874	0,0682	1,2368	-0,3979	0,9809	-0,0969	0,3032	1,2022	0,0645	0,0756	1,4919	1,4038
	E. rubecula	44901	FB	TN	-1,7959	1,1901	0,6222	0,3424	0,5933	0,1847	1,2758	0,3856	0,3560	0,0682	1,2266	-0,3372	0,9567	-0,0915		1,2055	0,0828	0,0453	1,5017	1,4055
Artamidae	Artamus minor	57477	FG	TN	-1,8239	1,2266	0,6325	0,4048	0,6253	0,2833	1,3861	0,4669	0,4564	0,1761	1,3401	-0,4949	1,1035	0,0756	0,3927	1,1310	0,0294	0,0492		1,1307
	A. minor	57539	FG	TN	-1,8539	1,2125	0,6484	0,4150	0,6415	0,2648	1,3788	0,4472	0,4487	0,1703	1,3345	-0,1739		-0,0315		1,1119	0,0334	0,0374	1,3026	1,1153
	A. superciliosus	57688	FG	TN	-1,4145	1,3469	0,7731	0,5502	0,7324	0,3692	1,4516	0,5933	0,5353	0,2989				0,2504		1,2903	0,1903	0,1732	1,4983	1,2878
	A. personatus	57691	FG	TN	-1,4045	1,3135	0,7356	0,5955	0,7300	0,3541	1,4478	0,6117	0,5289	0,2695	1,3945	-0,3768	1,2119	0,2014		1,2707	0,2041	0,1847	1,4751	1,2776
Sturnidae	Sturnus vulgaris	56492	FB	TGN	-1,1249	1,4288	0,8202	0,6042	0,7924	0,4393	1,5200	0,6776	0,6243	0,3945	1,4663	-0,1805	1,2688	0,3243	0,5717	1,4086	0,3181	0,2900	1,6545	1,4685
	S. vulgaris	56493	FB	TGN	-1,1612	1,4301	0,8235	0,6474	0,8055	0,4298	1,5261	0,6523	0,6294	0,3784	1,4654	-0,2007	1,2817	0,3054	0,5478	1,4018	0,3054	0,2788	1,6563	1,4777
