common,tax,order,family,tribe,genus,species,taxon,location,ecosystem,country
Grevy's zebra,Equus grevyi,Perissodactyla,Equidae,,Equus,grevyi,Equus,Awash NP,AWSH,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Awash NP,AWSH,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Awash NP,AWSH,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Awash NP,AWSH,Ethiopia
oryx,Oryx beisa,Artiodactyla,Bovidae,Hippotragini,Oryx,beisa,Hippotragini,Awash NP,AWSH,Ethiopia
oryx,Oryx beisa,Artiodactyla,Bovidae,Hippotragini,Oryx,beisa,Hippotragini,Awash NP,AWSH,Ethiopia
oryx,Oryx beisa,Artiodactyla,Bovidae,Hippotragini,Oryx,beisa,Hippotragini,Awash NP,AWSH,Ethiopia
oryx,Oryx beisa,Artiodactyla,Bovidae,Hippotragini,Oryx,beisa,Hippotragini,Awash NP,AWSH,Ethiopia
dik-dik,Madoqua saltiana,Artiodactyla,Bovidae,Neotragini,Madoqua ,kirkii,Neotragini,Awash,AWSH,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Awash NP,AWSH,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Awash NP,AWSH,Ethiopia
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Awash NP,AWSH,Ethiopia
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Awash NP,AWSH,Ethiopia
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Awash,AWSH,Ethiopia
klipspringer,Oreotragus oreotragus,Artiodactyla,Bovidae,Antilopini,Oreotragus,oreotragus,Antilopini,Mt Albasso,BALE,Ethiopia
common duiker,Sylvicapra grimmia,Artiodactyla,Bovidae,Cephalophini,Sylvicapra,grimmia,Cephalophini,Bale Mtn NP,BALE,Ethiopia
common duiker,Sylvicapra grimmia,Artiodactyla,Bovidae,Cephalophini,Sylvicapra,grimmia,Cephalophini,Bale Mtn NP,BALE,Ethiopia
oribi,Ourebia ourebi,Artiodactyla,Bovidae,Neotragini,Ourebia,ourebi,Neotragini,Mt Albasso,BALE,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Bale Mtn NP,BALE,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Bale Mtn NP,BALE,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Bale Mtn NP,BALE,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Bale Mtn NP,BALE,Ethiopia
Bohar reedbuck,Redunca redunca,Artiodactyla,Bovidae,Reduncini,Redunca,redunca,Reduncini,Bale Mtn NP,BALE,Ethiopia
mountain nyala,Tragelaphus buxtoni,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,buxtoni,Tragelaphini,Bale Mtn NP,BALE,Ethiopia
mountain nyala,Tragelaphus buxtoni,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,buxtoni,Tragelaphini,Bale Mtn NP,BALE,Ethiopia
mountain nyala,Tragelaphus buxtoni,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,buxtoni,Tragelaphini,Bale Mtn NP,BALE,Ethiopia
mountain nyala,Tragelaphus buxtoni,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,buxtoni,Tragelaphini,Bale Mtn NP,BALE,Ethiopia
mountain nyala,Tragelaphus buxtoni,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,buxtoni,Tragelaphini,Bale Mtn NP,BALE,Ethiopia
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Bale,BALE,Ethiopia
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Bale,BALE,Ethiopia
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Mt Gugu,BALE,Ethiopia
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Mt Albasso,BALE,Ethiopia
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Mt Albasso,BALE,Ethiopia
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Salali,BALE,Ethiopia
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Ol Donyo Wuas,CHYU,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Ol Donyo Wuas,CHYU,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Ol Donyo Wuas,CHYU,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Ol Donyo Wuas,CHYU,Kenya
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Ol Donyo Wuas,CHYU,Kenya
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Ol Donyo Wuas,CHYU,Kenya
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Chuyulu,CHYU,Kenya
oryx,Oryx beisa,Artiodactyla,Bovidae,Hippotragini,Oryx,beisa,Hippotragini,Ol Donyo Wuas,CHYU,Kenya
oryx,Oryx beisa,Artiodactyla,Bovidae,Hippotragini,Oryx,beisa,Hippotragini,Ol Donyo Wuas,CHYU,Kenya
eland,Taurotragus oryx,Artiodactyla,Bovidae,Tragelaphini,Taurotragus,oryx,Tragelaphini,Ol Donyo Wuas,CHYU,Kenya
"hartebeest, Swayne's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Nechisar NP,ETHR,Ethiopia
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Abiata-Shalla NP,ETHR,Ethiopia
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Abiata-Shalla NP,ETHR,Ethiopia
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Nechisar NP,ETHR,Ethiopia
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Nechisar NP,ETHR,Ethiopia
